category,sim_dreambooth_train,sim_instantid_train,sim_gpt4o_train
keanu,0.687255859375,0.675048828125,0.74072265625
zendaya,0.8220098586309523,0.7128208705357143,0.6323939732142857
zayn,0.7101818266369048,0.8120814732142857,0.7769252232142857
emma,0.6195458984375,0.6408203125,0.774365234375
bradd,0.625372314453125,0.7139892578125,0.8148193359375
jaden,0.6530029296875,0.64300537109375,0.72967529296875
denzel,0.6641183035714285,0.68017578125,0.7750418526785714
angelina,0.72806396484375,0.684326171875,0.82080078125
robert,0.6095377604166666,0.7234700520833334,0.7894694010416666
meryl,0.6233258928571429,0.7045200892857143,0.7442103794642857
